EventTime,MatchID,TeamID,OriginPlayerID,DestinationPlayerID,MatchPeriod,EventType,EventSubType,EventOrigin_x,EventOrigin_y,EventDestination_x,EventDestination_y
31.17,1,Huskies,Huskies_G1,,1H,Free Kick,Goal kick,0.0,0.0,66.0,89.0
33.73,1,Opponent1,Opponent1_D1,,1H,Duel,Air duel,34.0,11.0,22.0,0.0
33.81,1,Huskies,Huskies_F1,,1H,Duel,Air duel,66.0,89.0,78.0,100.0
42.61,1,Opponent1,Opponent1_D2,,1H,Free Kick,Throw in,22.0,0.0,66.0,3.0
46.32,1,Huskies,Huskies_D1,Huskies_F1,1H,Pass,Head pass,34.0,97.0,59.0,95.0
47.0,1,Huskies,Huskies_F1,,1H,Duel,Ground loose ball duel,59.0,95.0,64.0,94.0
47.21,1,Opponent1,Opponent1_D1,,1H,Duel,Ground loose ball duel,41.0,5.0,36.0,6.0
48.49,1,Opponent1,Opponent1_M1,,1H,Pass,Simple pass,36.0,6.0,45.0,5.0
49.88,1,Huskies,Huskies_F1,,1H,Pass,Head pass,55.0,95.0,57.0,93.0
50.11,1,Opponent1,Opponent1_D1,,1H,Duel,Ground loose ball duel,43.0,7.0,47.0,11.0
51.02,1,Huskies,Huskies_M1,Huskies_F2,1H,Pass,Simple pass,53.0,89.0,69.0,91.0
51.62,1,Huskies,Huskies_F2,,1H,Pass,Simple pass,69.0,91.0,75.0,100.0
62.22,1,Opponent1,Opponent1_D2,,1H,Free Kick,Throw in,30.0,0.0,40.0,0.0
85.96,1,Huskies,Huskies_F1,,1H,Free Kick,Throw in,65.0,100.0,81.0,84.0
89.01,1,Opponent1,Opponent1_D2,Opponent1_G1,1H,Pass,Simple pass,19.0,16.0,5.0,50.0
92.22,1,Opponent1,Opponent1_G1,Opponent1_F1,1H,Pass,Launch,5.0,50.0,67.0,44.0
95.98,1,Opponent1,Opponent1_F1,,1H,Duel,Air duel,67.0,44.0,58.0,45.0
96.95,1,Huskies,Huskies_D2,,1H,Duel,Air duel,33.0,56.0,42.0,55.0
98.27,1,Huskies,Huskies_M2,Huskies_M3,1H,Pass,Simple pass,42.0,55.0,36.0,54.0
99.4,1,Huskies,Huskies_M3,,1H,Pass,Simple pass,36.0,54.0,36.0,63.0
99.76,1,Opponent1,Opponent1_M1,,1H,Pass,Simple pass,64.0,37.0,70.0,5.0
103.36,1,Huskies,Huskies_D1,,1H,Pass,High pass,30.0,95.0,72.0,97.0
105.0,1,Opponent1,Opponent1_D1,,1H,Duel,Air duel,28.0,3.0,39.0,7.0
106.14,1,Huskies,Huskies_F1,,1H,Duel,Air duel,72.0,97.0,61.0,93.0
107.85,1,Opponent1,Opponent1_M1,,1H,Pass,Simple pass,39.0,7.0,27.0,2.0
108.29,1,Huskies,Huskies_F1,,1H,Others on the ball,Touch,73.0,98.0,70.0,89.0
109.03,1,Opponent1,Opponent1_D1,Opponent1_F2,1H,Pass,Simple pass,30.0,11.0,31.0,22.0
111.03,1,Opponent1,Opponent1_F2,Opponent1_D2,1H,Pass,Simple pass,31.0,22.0,27.0,23.0
112.86,1,Opponent1,Opponent1_D2,Opponent1_M1,1H,Pass,High pass,27.0,23.0,36.0,6.0
115.29,1,Opponent1,Opponent1_M1,,1H,Pass,Simple pass,36.0,6.0,35.0,2.0
116.88,1,Huskies,Huskies_F1,,1H,Others on the ball,Touch,65.0,98.0,66.0,100.0
127.73,1,Opponent1,Opponent1_D2,,1H,Free Kick,Throw in,34.0,0.0,66.0,9.0
130.66,1,Huskies,Huskies_D1,Huskies_F1,1H,Pass,Head pass,34.0,91.0,52.0,97.0
134.6,1,Huskies,Huskies_F1,,1H,Duel,Ground defending duel,52.0,97.0,47.0,100.0
148.69,1,Opponent1,Opponent1_D1,,1H,Free Kick,Throw in,53.0,0.0,48.0,12.0
151.85,1,Opponent1,Opponent1_F2,Opponent1_D3,1H,Pass,Simple pass,48.0,12.0,46.0,56.0
154.64,1,Opponent1,Opponent1_D3,Opponent1_M2,1H,Pass,Simple pass,46.0,56.0,56.0,68.0
158.52,1,Opponent1,Opponent1_M2,,1H,Pass,High pass,56.0,68.0,86.0,35.0
161.22,1,Huskies,Huskies_D1,Huskies_G1,1H,Pass,Simple pass,14.0,65.0,11.0,50.0
164.63,1,Huskies,Huskies_G1,Huskies_G1,1H,Pass,Hand pass,11.0,50.0,5.0,45.0
169.31,1,Huskies,Huskies_G1,,1H,Pass,Launch,5.0,45.0,47.0,89.0
171.94,1,Opponent1,Opponent1_D1,,1H,Duel,Air duel,53.0,11.0,91.0,18.0
176.84,1,Huskies,Huskies_G1,,1H,Pass,Launch,9.0,82.0,62.0,91.0
180.25,1,Opponent1,Opponent1_D1,,1H,Duel,Air duel,38.0,9.0,59.0,14.0
180.83,1,Huskies,Huskies_F1,,1H,Duel,Air duel,62.0,91.0,41.0,86.0
183.46,1,Huskies,Huskies_M3,,1H,Others on the ball,Touch,41.0,86.0,35.0,90.0
183.99,1,Huskies,Huskies_D1,,1H,Duel,Ground loose ball duel,35.0,90.0,28.0,94.0
184.28,1,Opponent1,Opponent1_M1,,1H,Duel,Ground loose ball duel,65.0,10.0,72.0,6.0
188.33,1,Huskies,Huskies_D1,,1H,Others on the ball,Touch,28.0,94.0,32.0,90.0
188.66,1,Opponent1,Opponent1_M1,,1H,Duel,Ground attacking duel,68.0,10.0,75.0,0.0
190.33,1,Huskies,Huskies_D1,,1H,Duel,Ground defending duel,32.0,90.0,25.0,100.0
201.19,1,Huskies,Huskies_D1,,1H,Free Kick,Throw in,25.0,100.0,39.0,95.0
203.18,1,Huskies,Huskies_F2,,1H,Duel,Ground attacking duel,39.0,95.0,44.0,95.0
203.34,1,Opponent1,Opponent1_M1,,1H,Duel,Ground defending duel,61.0,5.0,56.0,5.0
206.6,1,Huskies,Huskies_F2,,1H,Duel,Ground defending duel,44.0,95.0,44.0,94.0
206.87,1,Opponent1,Opponent1_M1,,1H,Duel,Ground attacking duel,56.0,5.0,56.0,6.0
209.47,1,Huskies,Huskies_F2,,1H,Foul,Foul,44.0,94.0,44.0,95.0
236.08,1,Opponent1,Opponent1_D1,,1H,Free Kick,Free kick cross,59.0,9.0,100.0,100.0
238.03,1,Huskies,Huskies_G1,,1H,Goalkeeper leaving line,Goalkeeper leaving line,0.0,0.0,41.0,91.0
239.48,1,Opponent1,Opponent1_F3,,1H,Duel,Air duel,89.0,59.0,74.0,67.0
239.99,1,Huskies,Huskies_G1,,1H,Duel,Air duel,11.0,41.0,26.0,33.0
240.31,1,Opponent1,Opponent1_M3,,1H,Duel,Air duel,74.0,67.0,83.0,8.0
240.71,1,Huskies,Huskies_M2,,1H,Duel,Air duel,26.0,33.0,17.0,92.0
247.47,1,Huskies,Huskies_D1,Huskies_D2,1H,Pass,Simple pass,17.0,92.0,22.0,62.0
249.69,1,Huskies,Huskies_D2,Huskies_D3,1H,Pass,Simple pass,22.0,62.0,19.0,24.0
251.51,1,Huskies,Huskies_D3,Huskies_G1,1H,Pass,Simple pass,19.0,24.0,8.0,45.0
